2021-08-23 01:37:04 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-23 01:37:04 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-23 22:22:15 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-23 22:22:15 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-23 22:28:15 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-23 22:28:15 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-24 00:08:31 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-24 00:08:31 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-24 00:09:33 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-24 00:09:33 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-24 00:11:02 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-24 00:11:02 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-25 14:42:27 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-25 14:42:27 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-25 18:36:03 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-25 18:36:03 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-25 18:41:30 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-25 18:41:30 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-26 00:15:39 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-26 00:15:39 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-26 09:05:06 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-26 09:05:06 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
